state,ncsl_year,dem_senate_seats,total_senate_seats
Alabama,2015,8,35
Alaska,2015,6,20
Arizona,2015,13,30
Arkansas,2015,11,35
California,2015,25,40
Colorado,2015,17,35
Connecticut,2015,20,36
Delaware,2015,12,21
Florida,2015,14,40
Georgia,2015,18,56
Hawaii,2015,24,25
Idaho,2015,7,35
Illinois,2015,39,59
Indiana,2015,10,50
Iowa,2015,26,50
Kansas,2015,8,40
Kentucky,2015,11,38
Louisiana,2015,13,39
Maine,2015,15,35
Maryland,2015,32,47
Massachusetts,2015,34,40
Michigan,2015,11,38
Minnesota,2015,39,67
Mississippi,2015,20,52
Missouri,2015,9,34
Montana,2015,21,50
Nevada,2015,10,21
New Hampshire,2015,10,24
New Jersey,2015,24,40
New Mexico,2015,25,42
New York,2015,31,63
North Carolina,2015,15,50
North Dakota,2015,15,47
Ohio,2015,10,33
Oklahoma,2015,8,48
Oregon,2015,18,30
Pennsylvania,2015,20,50
Rhode Island,2015,32,38
South Carolina,2015,18,46
South Dakota,2015,8,35
Tennessee,2015,5,33
Texas,2015,11,31
Utah,2015,5,29
Vermont,2015,21,30
Virginia,2015,19,40
Washington,2015,24,49
West Virginia,2015,16,34
Wisconsin,2015,14,33
Wyoming,2015,4,30
Alabama,2017,8,35
Alaska,2017,6,20
Arizona,2017,13,30
Arkansas,2017,9,35
California,2017,27,40
Colorado,2017,17,35
Delaware,2017,11,21
Florida,2017,15,40
Georgia,2017,18,56
Hawaii,2017,25,25
Idaho,2017,6,35
Illinois,2017,37,59
Indiana,2017,9,50
Kansas,2017,9,40
Maine,2017,17,35
Maryland,2017,33,47
Massachusetts,2017,34,40
Michigan,2017,11,38
Mississippi,2017,20,52
Montana,2017,18,50
New Jersey,2017,24,40
North Dakota,2017,9,47
Ohio,2017,9,33
Oklahoma,2017,6,48
Oregon,2017,17,30
Pennsylvania,2017,16,50
Rhode Island,2017,33,38
South Carolina,2017,18,46
South Dakota,2017,6,35
Tennessee,2017,5,33
Texas,2017,11,31
Utah,2017,5,29
Virginia,2017,19,40
West Virginia,2017,12,34
Wisconsin,2017,13,33
Wyoming,2017,3,30
Alabama,2019,8,35
Arkansas,2019,9,35
California,2019,28,40
Connecticut,2019,22,36
Delaware,2019,12,21
Florida,2019,17,40
Georgia,2019,21,56
Hawaii,2019,24,25
Idaho,2019,7,35
Indiana,2019,10,50
Maryland,2019,32,47
Massachusetts,2019,34,40
Minnesota,2019,32,67
Mississippi,2019,19,52
Montana,2019,20,50
North Dakota,2019,10,47
Ohio,2019,9,33
Oklahoma,2019,9,48
Oregon,2019,18,30
Pennsylvania,2019,21,50
Rhode Island,2019,33,38
South Carolina,2019,19,46
South Dakota,2019,5,35
Tennessee,2019,5,33
Texas,2019,12,31
Utah,2019,6,29
Virginia,2019,19,40
Wyoming,2019,3,30
Alabama,2021,8,35
Arizona,2021,14,30
Arkansas,2021,7,35
California,2021,30,40
Connecticut,2021,23,36
Delaware,2021,14,21
Florida,2021,16,40
Georgia,2021,22,56
Hawaii,2021,24,25
Idaho,2021,7,35
Indiana,2021,11,50
Maryland,2021,32,47
Massachusetts,2021,37,40
Minnesota,2021,31,67
Mississippi,2021,16,52
North Dakota,2021,7,47
Ohio,2021,8,33
Oklahoma,2021,9,48
Oregon,2021,18,30
Pennsylvania,2021,21,50
Rhode Island,2021,33,38
South Carolina,2021,16,46
South Dakota,2021,3,35
Tennessee,2021,6,33
Texas,2021,12,31
Utah,2021,6,29
Wyoming,2021,2,30
Alabama,2023,7,35
Arkansas,2023,6,35
California,2023,32,40
Connecticut,2023,24,36
Delaware,2023,15,21
Florida,2023,12,40
Georgia,2023,23,56
Hawaii,2023,23,25
Idaho,2023,7,35
Indiana,2023,10,50
Mississippi,2023,16,52
North Dakota,2023,4,47
Ohio,2023,7,33
Oklahoma,2023,8,48
Oregon,2023,17,30
Rhode Island,2023,33,38
South Carolina,2023,16,46
South Dakota,2023,4,35
Tennessee,2023,6,33
Texas,2023,12,31
Utah,2023,6,29
Wyoming,2023,2,31
